date,news,description,url,score,type
2026-01-17 21:43:07+00:00,Apple mock event 1-1,Mock description for Apple event 1.,https://example.com/apple/0/0,0.07841883847663533,news_fm
2026-01-17 21:43:07+00:00,Apple mock event 1-2,Mock description for Apple event 2.,https://example.com/apple/0/1,-0.19634319699548985,twit
2026-01-17 16:43:07+00:00,Apple mock event 1-3,Mock description for Apple event 3.,https://example.com/apple/0/2,0.02401561847219543,news_fm
2026-01-16 16:43:07+00:00,Apple mock event 2-2,Mock description for Apple event 2.,https://example.com/apple/1/1,-0.007353091580120879,analytical note
2026-01-16 12:43:07+00:00,Apple mock event 2-3,Mock description for Apple event 3.,https://example.com/apple/1/2,0.5514569013210308,news
2026-01-16 07:43:07+00:00,Apple mock event 2-1,Mock description for Apple event 1.,https://example.com/apple/1/0,0.23532334914102884,news
2026-01-15 11:43:07+00:00,Apple mock event 3-1,Mock description for Apple event 1.,https://example.com/apple/2/0,-0.5083093549816846,news_fm
2026-01-15 11:43:07+00:00,Apple mock event 3-2,Mock description for Apple event 2.,https://example.com/apple/2/1,1.0,news_fm
2026-01-15 10:43:07+00:00,Apple mock event 3-3,Mock description for Apple event 3.,https://example.com/apple/2/2,-0.5611506751555125,analytical note
2026-01-14 21:43:07+00:00,Apple mock event 4-2,Mock description for Apple event 2.,https://example.com/apple/3/1,0.7229569034886372,news_fm
2026-01-14 12:43:07+00:00,Apple mock event 4-1,Mock description for Apple event 1.,https://example.com/apple/3/0,-0.4417442790271664,analytical note
2026-01-14 08:43:07+00:00,Apple mock event 4-3,Mock description for Apple event 3.,https://example.com/apple/3/2,-0.49946061218404486,news_fm
2026-01-13 13:43:07+00:00,Apple mock event 5-1,Mock description for Apple event 1.,https://example.com/apple/4/0,0.12243177032099646,news
2026-01-13 12:43:07+00:00,Apple mock event 5-3,Mock description for Apple event 3.,https://example.com/apple/4/2,0.03169107697669098,news
2026-01-13 05:43:07+00:00,Apple mock event 5-2,Mock description for Apple event 2.,https://example.com/apple/4/1,-0.5718102535297154,news
2026-01-12 20:43:07+00:00,Apple mock event 6-2,Mock description for Apple event 2.,https://example.com/apple/5/1,1.0,news
2026-01-12 17:43:07+00:00,Apple mock event 6-3,Mock description for Apple event 3.,https://example.com/apple/5/2,-0.4264488410966638,news
2026-01-12 09:43:07+00:00,Apple mock event 6-1,Mock description for Apple event 1.,https://example.com/apple/5/0,0.22944627620776797,news_fm
2026-01-11 08:43:07+00:00,Apple mock event 7-2,Mock description for Apple event 2.,https://example.com/apple/6/1,-0.48822720529490377,analytical note
2026-01-11 07:43:07+00:00,Apple mock event 7-1,Mock description for Apple event 1.,https://example.com/apple/6/0,0.37965252426085777,news
2026-01-11 06:43:07+00:00,Apple mock event 7-3,Mock description for Apple event 3.,https://example.com/apple/6/2,0.2969199990209985,twit
2026-01-10 19:43:07+00:00,Apple mock event 8-1,Mock description for Apple event 1.,https://example.com/apple/7/0,-0.06843384560937851,twit
2026-01-10 08:43:07+00:00,Apple mock event 8-3,Mock description for Apple event 3.,https://example.com/apple/7/2,0.813109954045643,twit
2026-01-10 06:43:07+00:00,Apple mock event 8-2,Mock description for Apple event 2.,https://example.com/apple/7/1,0.37897970865816455,twit
2026-01-09 15:43:07+00:00,Apple mock event 9-1,Mock description for Apple event 1.,https://example.com/apple/8/0,-0.30755795039477335,twit
2026-01-09 03:43:07+00:00,Apple mock event 9-2,Mock description for Apple event 2.,https://example.com/apple/8/1,0.034784168510305226,news
2026-01-09 02:43:07+00:00,Apple mock event 9-3,Mock description for Apple event 3.,https://example.com/apple/8/2,-0.26611737199233976,twit
2026-01-08 20:43:07+00:00,Apple mock event 10-3,Mock description for Apple event 3.,https://example.com/apple/9/2,0.21873362330535978,analytical note
2026-01-08 13:43:07+00:00,Apple mock event 10-1,Mock description for Apple event 1.,https://example.com/apple/9/0,0.006709960345306313,analytical note
2026-01-08 04:43:07+00:00,Apple mock event 10-2,Mock description for Apple event 2.,https://example.com/apple/9/1,-0.527054077873955,news_fm
2026-01-07 16:43:07+00:00,Apple mock event 11-1,Mock description for Apple event 1.,https://example.com/apple/10/0,0.4565797743356759,twit
2026-01-07 11:43:07+00:00,Apple mock event 11-3,Mock description for Apple event 3.,https://example.com/apple/10/2,-1.0,news_fm
2026-01-07 09:43:07+00:00,Apple mock event 11-2,Mock description for Apple event 2.,https://example.com/apple/10/1,-1.0,news_fm
2026-01-06 15:43:07+00:00,Apple mock event 12-3,Mock description for Apple event 3.,https://example.com/apple/11/2,-0.26812688098006665,twit
2026-01-06 10:43:07+00:00,Apple mock event 12-1,Mock description for Apple event 1.,https://example.com/apple/11/0,0.07453643564558435,analytical note
2026-01-06 06:43:07+00:00,Apple mock event 12-2,Mock description for Apple event 2.,https://example.com/apple/11/1,0.01870229783497099,twit
2026-01-05 14:43:07+00:00,Apple mock event 13-3,Mock description for Apple event 3.,https://example.com/apple/12/2,0.578109454873564,twit
2026-01-05 06:43:07+00:00,Apple mock event 13-1,Mock description for Apple event 1.,https://example.com/apple/12/0,-0.12220931863128644,twit
2026-01-05 04:43:07+00:00,Apple mock event 13-2,Mock description for Apple event 2.,https://example.com/apple/12/1,0.6118626650566579,news_fm
2026-01-04 10:43:07+00:00,Apple mock event 14-3,Mock description for Apple event 3.,https://example.com/apple/13/2,0.5553625971213287,twit
2026-01-04 06:43:07+00:00,Apple mock event 14-1,Mock description for Apple event 1.,https://example.com/apple/13/0,0.3491088901317318,news_fm
2026-01-04 06:43:07+00:00,Apple mock event 14-2,Mock description for Apple event 2.,https://example.com/apple/13/1,-0.001601443428056747,news
2026-01-03 17:43:07+00:00,Apple mock event 15-3,Mock description for Apple event 3.,https://example.com/apple/14/2,0.4305647895676786,news_fm
2026-01-03 14:43:07+00:00,Apple mock event 15-1,Mock description for Apple event 1.,https://example.com/apple/14/0,-0.07631162772772987,analytical note
2026-01-03 09:43:07+00:00,Apple mock event 15-2,Mock description for Apple event 2.,https://example.com/apple/14/1,-0.24480922925543605,twit
2026-01-02 11:43:07+00:00,Apple mock event 16-2,Mock description for Apple event 2.,https://example.com/apple/15/1,-0.39990480866468087,twit
2026-01-02 07:43:07+00:00,Apple mock event 16-3,Mock description for Apple event 3.,https://example.com/apple/15/2,0.15925605256951988,analytical note
2026-01-02 05:43:07+00:00,Apple mock event 16-1,Mock description for Apple event 1.,https://example.com/apple/15/0,0.6620141084897642,news_fm
2026-01-01 21:43:07+00:00,Apple mock event 17-2,Mock description for Apple event 2.,https://example.com/apple/16/1,1.0,news_fm
2026-01-01 18:43:07+00:00,Apple mock event 17-1,Mock description for Apple event 1.,https://example.com/apple/16/0,0.06783876943304638,news_fm
2026-01-01 03:43:07+00:00,Apple mock event 17-3,Mock description for Apple event 3.,https://example.com/apple/16/2,0.18120335601027346,twit
2025-12-31 19:43:07+00:00,Apple mock event 18-2,Mock description for Apple event 2.,https://example.com/apple/17/1,0.0608599269906228,analytical note
2025-12-31 16:43:07+00:00,Apple mock event 18-1,Mock description for Apple event 1.,https://example.com/apple/17/0,0.19547809500796232,analytical note
